product_id,date,quantity_sold
P001,2022-01-01,59
P001,2022-01-02,75
P001,2022-01-03,73
P001,2022-01-04,86
P001,2022-01-05,65
P001,2022-01-06,65
P001,2022-01-07,44
P001,2022-01-08,80
P001,2022-01-09,66
P001,2022-01-10,63
P001,2022-01-11,64
P001,2022-01-12,76
P001,2022-01-13,72
P001,2022-01-14,63
P001,2022-01-15,61
P001,2022-01-16,80
P001,2022-01-17,60
P001,2022-01-18,68
P001,2022-01-19,68
P001,2022-01-20,74
P001,2022-01-21,98
P001,2022-01-22,82
P001,2022-01-23,73
P001,2022-01-24,84
P001,2022-01-25,60
P001,2022-01-26,55
P001,2022-01-27,57
P001,2022-01-28,62
P001,2022-01-29,76
P001,2022-01-30,79
P001,2022-01-31,68
P001,2022-02-01,64
P001,2022-02-02,48
P001,2022-02-03,81
P001,2022-02-04,82
P001,2022-02-05,62
P001,2022-02-06,60
P001,2022-02-07,70
P001,2022-02-08,85
P001,2022-02-09,74
P001,2022-02-10,67
P001,2022-02-11,70
P001,2022-02-12,56
P001,2022-02-13,81
P001,2022-02-14,65
P001,2022-02-15,56
P001,2022-02-16,68
P001,2022-02-17,66
P001,2022-02-18,76
P001,2022-02-19,82
P001,2022-02-20,84
P001,2022-02-21,72
P001,2022-02-22,68
P001,2022-02-23,67
P001,2022-02-24,44
P001,2022-02-25,74
P001,2022-02-26,75
P001,2022-02-27,69
P001,2022-02-28,61
P001,2022-03-01,85
P001,2022-03-02,70
P001,2022-03-03,54
P001,2022-03-04,72
P001,2022-03-05,64
P001,2022-03-06,75
P001,2022-03-07,68
P001,2022-03-08,74
P001,2022-03-09,70
P001,2022-03-10,63
P001,2022-03-11,78
P001,2022-03-12,85
P001,2022-03-13,91
P001,2022-03-14,66
P001,2022-03-15,84
P001,2022-03-16,96
P001,2022-03-17,79
P001,2022-03-18,77
P001,2022-03-19,58
P001,2022-03-20,77
P001,2022-03-21,69
P001,2022-03-22,67
P001,2022-03-23,76
P001,2022-03-24,84
P001,2022-03-25,109
P001,2022-03-26,56
P001,2022-03-27,82
P001,2022-03-28,80
P001,2022-03-29,83
P001,2022-03-30,74
P001,2022-03-31,79
P001,2022-04-01,72
P001,2022-04-02,58
P001,2022-04-03,78
P001,2022-04-04,61
P001,2022-04-05,78
P001,2022-04-06,83
P001,2022-04-07,62
P001,2022-04-08,72
P001,2022-04-09,79
P001,2022-04-10,68
P001,2022-04-11,98
P001,2022-04-12,71
P001,2022-04-13,56
P001,2022-04-14,80
P001,2022-04-15,69
P001,2022-04-16,78
P001,2022-04-17,66
P001,2022-04-18,78
P001,2022-04-19,61
P001,2022-04-20,65
P001,2022-04-21,80
P001,2022-04-22,88
P001,2022-04-23,81
P001,2022-04-24,71
P001,2022-04-25,61
P001,2022-04-26,84
P001,2022-04-27,74
P001,2022-04-28,73
P001,2022-04-29,85
P001,2022-04-30,71
P001,2022-05-01,73
P001,2022-05-02,72
P001,2022-05-03,73
P001,2022-05-04,62
P001,2022-05-05,53
P001,2022-05-06,76
P001,2022-05-07,62
P001,2022-05-08,67
P001,2022-05-09,79
P001,2022-05-10,51
P001,2022-05-11,94
P001,2022-05-12,89
P001,2022-05-13,71
P001,2022-05-14,75
P001,2022-05-15,64
P001,2022-05-16,45
P001,2022-05-17,63
P001,2022-05-18,87
P001,2022-05-19,74
P001,2022-05-20,54
P001,2022-05-21,74
P001,2022-05-22,87
P001,2022-05-23,63
P001,2022-05-24,51
P001,2022-05-25,67
P001,2022-05-26,89
P001,2022-05-27,58
P001,2022-05-28,69
P001,2022-05-29,94
P001,2022-05-30,84
P001,2022-05-31,71
P001,2022-06-01,94
P001,2022-06-02,68
P001,2022-06-03,71
P001,2022-06-04,52
P001,2022-06-05,83
P001,2022-06-06,77
P001,2022-06-07,71
P001,2022-06-08,66
P001,2022-06-09,73
P001,2022-06-10,64
P001,2022-06-11,67
P001,2022-06-12,74
P001,2022-06-13,76
P001,2022-06-14,76
P001,2022-06-15,63
P001,2022-06-16,53
P001,2022-06-17,58
P001,2022-06-18,86
P001,2022-06-19,66
P001,2022-06-20,71
P001,2022-06-21,80
P001,2022-06-22,67
P001,2022-06-23,79
P001,2022-06-24,68
P001,2022-06-25,64
P001,2022-06-26,90
P001,2022-06-27,81
P001,2022-06-28,83
P001,2022-06-29,59
P001,2022-06-30,64
P001,2022-07-01,70
P001,2022-07-02,67
P001,2022-07-03,79
P001,2022-07-04,77
P001,2022-07-05,91
P001,2022-07-06,66
P001,2022-07-07,73
P001,2022-07-08,82
P001,2022-07-09,66
P001,2022-07-10,61
P001,2022-07-11,84
P001,2022-07-12,50
P001,2022-07-13,86
P001,2022-07-14,67
P001,2022-07-15,70
P001,2022-07-16,83
P001,2022-07-17,78
P001,2022-07-18,56
P001,2022-07-19,62
P001,2022-07-20,71
P001,2022-07-21,85
P001,2022-07-22,75
P001,2022-07-23,71
P001,2022-07-24,66
P001,2022-07-25,89
P001,2022-07-26,69
P001,2022-07-27,80
P001,2022-07-28,69
P001,2022-07-29,57
P001,2022-07-30,51
P001,2022-07-31,74
P001,2022-08-01,78
P001,2022-08-02,85
P001,2022-08-03,70
P001,2022-08-04,68
P001,2022-08-05,73
P001,2022-08-06,60
P001,2022-08-07,73
P001,2022-08-08,73
P001,2022-08-09,69
P001,2022-08-10,70
P001,2022-08-11,86
P001,2022-08-12,74
P001,2022-08-13,67
P001,2022-08-14,55
P001,2022-08-15,57
P001,2022-08-16,76
P001,2022-08-17,62
P001,2022-08-18,67
P001,2022-08-19,72
P001,2022-08-20,86
P001,2022-08-21,81
P001,2022-08-22,72
P001,2022-08-23,85
P001,2022-08-24,79
P001,2022-08-25,53
P001,2022-08-26,85
P001,2022-08-27,73
P001,2022-08-28,49
P001,2022-08-29,80
P001,2022-08-30,74
P001,2022-08-31,70
P001,2022-09-01,78
P001,2022-09-02,70
P001,2022-09-03,75
P001,2022-09-04,69
P001,2022-09-05,70
P001,2022-09-06,59
P001,2022-09-07,75
P001,2022-09-08,91
P001,2022-09-09,67
P001,2022-09-10,58
P001,2022-09-11,65
P001,2022-09-12,56
P001,2022-09-13,69
P001,2022-09-14,69
P001,2022-09-15,71
P001,2022-09-16,79
P001,2022-09-17,64
P001,2022-09-18,65
P001,2022-09-19,58
P001,2022-09-20,64
P001,2022-09-21,38
P001,2022-09-22,79
P001,2022-09-23,61
P001,2022-09-24,61
P001,2022-09-25,71
P001,2022-09-26,62
P001,2022-09-27,57
P001,2022-09-28,60
P001,2022-09-29,64
P001,2022-09-30,73
P001,2022-10-01,80
P001,2022-10-02,62
P001,2022-10-03,70
P001,2022-10-04,66
P001,2022-10-05,86
P001,2022-10-06,84
P001,2022-10-07,57
P001,2022-10-08,71
P001,2022-10-09,72
P001,2022-10-10,66
P001,2022-10-11,64
P001,2022-10-12,62
P001,2022-10-13,62
P001,2022-10-14,45
P001,2022-10-15,77
P001,2022-10-16,74
P001,2022-10-17,70
P001,2022-10-18,63
P001,2022-10-19,65
P001,2022-10-20,91
P001,2022-10-21,87
P001,2022-10-22,65
P001,2022-10-23,60
P001,2022-10-24,66
P001,2022-10-25,67
P001,2022-10-26,59
P001,2022-10-27,73
P001,2022-10-28,69
P001,2022-10-29,64
P001,2022-10-30,64
P001,2022-10-31,78
P001,2022-11-01,63
P001,2022-11-02,95
P001,2022-11-03,72
P001,2022-11-04,72
P001,2022-11-05,75
P001,2022-11-06,86
P001,2022-11-07,65
P001,2022-11-08,76
P001,2022-11-09,76
P001,2022-11-10,81
P001,2022-11-11,68
P001,2022-11-12,80
P001,2022-11-13,64
P001,2022-11-14,48
P001,2022-11-15,55
P001,2022-11-16,71
P001,2022-11-17,79
P001,2022-11-18,71
P001,2022-11-19,72
P001,2022-11-20,76
P001,2022-11-21,76
P001,2022-11-22,83
P001,2022-11-23,66
P001,2022-11-24,75
P001,2022-11-25,86
P001,2022-11-26,75
P001,2022-11-27,83
P001,2022-11-28,66
P001,2022-11-29,80
P001,2022-11-30,80
P001,2022-12-01,54
P001,2022-12-02,73
P001,2022-12-03,72
P001,2022-12-04,79
P001,2022-12-05,72
P001,2022-12-06,110
P001,2022-12-07,88
P001,2022-12-08,76
P001,2022-12-09,73
P001,2022-12-10,59
P001,2022-12-11,72
P001,2022-12-12,72
P001,2022-12-13,96
P001,2022-12-14,78
P001,2022-12-15,87
P001,2022-12-16,65
P001,2022-12-17,79
P001,2022-12-18,47
P001,2022-12-19,83
P001,2022-12-20,62
P001,2022-12-21,59
P001,2022-12-22,69
P001,2022-12-23,79
P001,2022-12-24,69
P001,2022-12-25,60
P001,2022-12-26,76
P001,2022-12-27,63
P001,2022-12-28,69
P001,2022-12-29,64
P001,2022-12-30,72
P001,2022-12-31,69
P001,2023-01-01,73
P001,2023-01-02,109
P001,2023-01-03,59
P001,2023-01-04,84
P001,2023-01-05,44
P001,2023-01-06,59
P001,2023-01-07,73
P001,2023-01-08,69
P001,2023-01-09,76
P001,2023-01-10,67
P001,2023-01-11,70
P001,2023-01-12,70
P001,2023-01-13,71
P001,2023-01-14,71
P001,2023-01-15,69
P001,2023-01-16,67
P001,2023-01-17,68
P001,2023-01-18,73
P001,2023-01-19,73
P001,2023-01-20,64
P001,2023-01-21,56
P001,2023-01-22,54
P001,2023-01-23,88
P001,2023-01-24,58
P001,2023-01-25,62
P001,2023-01-26,78
P001,2023-01-27,56
P001,2023-01-28,53
P001,2023-01-29,65
P001,2023-01-30,80
P001,2023-01-31,70
P001,2023-02-01,92
P001,2023-02-02,77
P001,2023-02-03,58
P001,2023-02-04,72
P001,2023-02-05,54
P001,2023-02-06,76
P001,2023-02-07,63
P001,2023-02-08,76
P001,2023-02-09,87
P001,2023-02-10,86
P001,2023-02-11,69
P001,2023-02-12,79
P001,2023-02-13,67
P001,2023-02-14,72
P001,2023-02-15,55
P001,2023-02-16,63
P001,2023-02-17,76
P001,2023-02-18,53
P001,2023-02-19,71
P001,2023-02-20,73
P001,2023-02-21,80
P001,2023-02-22,55
P001,2023-02-23,54
P001,2023-02-24,80
P001,2023-02-25,72
P001,2023-02-26,67
P001,2023-02-27,55
P001,2023-02-28,66
P001,2023-03-01,60
P001,2023-03-02,80
P001,2023-03-03,57
P001,2023-03-04,68
P001,2023-03-05,79
P001,2023-03-06,77
P001,2023-03-07,66
P001,2023-03-08,77
P001,2023-03-09,83
P001,2023-03-10,72
P001,2023-03-11,75
P001,2023-03-12,68
P001,2023-03-13,82
P001,2023-03-14,70
P001,2023-03-15,56
P001,2023-03-16,78
P001,2023-03-17,60
P001,2023-03-18,90
P001,2023-03-19,75
P001,2023-03-20,51
P001,2023-03-21,79
P001,2023-03-22,73
P001,2023-03-23,78
P001,2023-03-24,71
P001,2023-03-25,83
P001,2023-03-26,64
P001,2023-03-27,80
P001,2023-03-28,74
P001,2023-03-29,54
P001,2023-03-30,53
P001,2023-03-31,67
P001,2023-04-01,62
P001,2023-04-02,51
P001,2023-04-03,58
P001,2023-04-04,69
P001,2023-04-05,62
P001,2023-04-06,94
P001,2023-04-07,64
P001,2023-04-08,82
P001,2023-04-09,87
P001,2023-04-10,65
P001,2023-04-11,65
P001,2023-04-12,66
P001,2023-04-13,69
P001,2023-04-14,67
P001,2023-04-15,59
P001,2023-04-16,74
P001,2023-04-17,67
P001,2023-04-18,94
P001,2023-04-19,85
P001,2023-04-20,67
P001,2023-04-21,76
P001,2023-04-22,76
P001,2023-04-23,87
P001,2023-04-24,53
P001,2023-04-25,58
P001,2023-04-26,62
P001,2023-04-27,70
P001,2023-04-28,36
P001,2023-04-29,62
P001,2023-04-30,84
P001,2023-05-01,59
P001,2023-05-02,73
P001,2023-05-03,74
P001,2023-05-04,75
P001,2023-05-05,78
P001,2023-05-06,81
P001,2023-05-07,86
P001,2023-05-08,67
P001,2023-05-09,62
P001,2023-05-10,75
P001,2023-05-11,77
P001,2023-05-12,79
P001,2023-05-13,56
P001,2023-05-14,78
P001,2023-05-15,57
P001,2023-05-16,73
P001,2023-05-17,66
P001,2023-05-18,83
P001,2023-05-19,56
P001,2023-05-20,73
P001,2023-05-21,75
P001,2023-05-22,67
P001,2023-05-23,72
P001,2023-05-24,66
P001,2023-05-25,72
P001,2023-05-26,76
P001,2023-05-27,63
P001,2023-05-28,69
P001,2023-05-29,50
P001,2023-05-30,53
P001,2023-05-31,66
P001,2023-06-01,58
P001,2023-06-02,69
P001,2023-06-03,82
P001,2023-06-04,84
P001,2023-06-05,68
P001,2023-06-06,59
P001,2023-06-07,58
P001,2023-06-08,87
P001,2023-06-09,79
P001,2023-06-10,68
P001,2023-06-11,71
P001,2023-06-12,68
P001,2023-06-13,76
P001,2023-06-14,70
P001,2023-06-15,78
P001,2023-06-16,78
P001,2023-06-17,56
P001,2023-06-18,74
P001,2023-06-19,83
P001,2023-06-20,75
P001,2023-06-21,74
P001,2023-06-22,63
P001,2023-06-23,63
P001,2023-06-24,70
P001,2023-06-25,64
P001,2023-06-26,85
P001,2023-06-27,69
P001,2023-06-28,64
P001,2023-06-29,81
P001,2023-06-30,60
P001,2023-07-01,70
P001,2023-07-02,65
P001,2023-07-03,95
P001,2023-07-04,70
P001,2023-07-05,62
P001,2023-07-06,71
P001,2023-07-07,69
P001,2023-07-08,63
P001,2023-07-09,80
P001,2023-07-10,77
P001,2023-07-11,73
P001,2023-07-12,59
P001,2023-07-13,89
P001,2023-07-14,74
P001,2023-07-15,65
P001,2023-07-16,87
P001,2023-07-17,72
P001,2023-07-18,80
P001,2023-07-19,75
P001,2023-07-20,103
P001,2023-07-21,60
P001,2023-07-22,65
P001,2023-07-23,100
P001,2023-07-24,70
P001,2023-07-25,59
P001,2023-07-26,79
P001,2023-07-27,81
P001,2023-07-28,69
P001,2023-07-29,52
P001,2023-07-30,61
P001,2023-07-31,55
P001,2023-08-01,91
P001,2023-08-02,54
P001,2023-08-03,65
P001,2023-08-04,76
P001,2023-08-05,58
P001,2023-08-06,75
P001,2023-08-07,64
P001,2023-08-08,74
P001,2023-08-09,68
P001,2023-08-10,69
P001,2023-08-11,81
P001,2023-08-12,59
P001,2023-08-13,74
P001,2023-08-14,79
P001,2023-08-15,58
P001,2023-08-16,47
P001,2023-08-17,68
P001,2023-08-18,50
P001,2023-08-19,73
P001,2023-08-20,77
P001,2023-08-21,57
P001,2023-08-22,79
P001,2023-08-23,83
P001,2023-08-24,74
P001,2023-08-25,83
P001,2023-08-26,66
P001,2023-08-27,65
P001,2023-08-28,69
P001,2023-08-29,60
P001,2023-08-30,65
P001,2023-08-31,71
P001,2023-09-01,72
P001,2023-09-02,75
P001,2023-09-03,49
P001,2023-09-04,100
P001,2023-09-05,61
P001,2023-09-06,77
P001,2023-09-07,73
P001,2023-09-08,64
P001,2023-09-09,76
P001,2023-09-10,61
P001,2023-09-11,70
P001,2023-09-12,91
P001,2023-09-13,66
P001,2023-09-14,71
P001,2023-09-15,60
P001,2023-09-16,77
P001,2023-09-17,63
P001,2023-09-18,73
P001,2023-09-19,81
P001,2023-09-20,68
P001,2023-09-21,76
P001,2023-09-22,74
P001,2023-09-23,81
P001,2023-09-24,76
P001,2023-09-25,83
P001,2023-09-26,68
P001,2023-09-27,58
P001,2023-09-28,54
P001,2023-09-29,55
P001,2023-09-30,67
P001,2023-10-01,72
P001,2023-10-02,63
P001,2023-10-03,48
P001,2023-10-04,64
P001,2023-10-05,66
P001,2023-10-06,70
P001,2023-10-07,85
P001,2023-10-08,52
P001,2023-10-09,77
P001,2023-10-10,76
P001,2023-10-11,68
P001,2023-10-12,76
P001,2023-10-13,69
P001,2023-10-14,76
P001,2023-10-15,62
P001,2023-10-16,61
P001,2023-10-17,51
P001,2023-10-18,74
P001,2023-10-19,64
P001,2023-10-20,55
P001,2023-10-21,61
P001,2023-10-22,76
P001,2023-10-23,72
P001,2023-10-24,61
P001,2023-10-25,84
P001,2023-10-26,69
P001,2023-10-27,75
P001,2023-10-28,72
P001,2023-10-29,68
P001,2023-10-30,75
P001,2023-10-31,82
P001,2023-11-01,67
P001,2023-11-02,78
P001,2023-11-03,63
P001,2023-11-04,98
P001,2023-11-05,62
P001,2023-11-06,93
P001,2023-11-07,58
P001,2023-11-08,65
P001,2023-11-09,77
P001,2023-11-10,83
P001,2023-11-11,87
P001,2023-11-12,85
P001,2023-11-13,54
P001,2023-11-14,75
P001,2023-11-15,63
P001,2023-11-16,80
P001,2023-11-17,82
P001,2023-11-18,74
P001,2023-11-19,65
P001,2023-11-20,59
P001,2023-11-21,60
P001,2023-11-22,63
P001,2023-11-23,71
P001,2023-11-24,81
P001,2023-11-25,72
P001,2023-11-26,59
P001,2023-11-27,58
P001,2023-11-28,77
P001,2023-11-29,90
P001,2023-11-30,71
P001,2023-12-01,64
P001,2023-12-02,61
P001,2023-12-03,80
P001,2023-12-04,86
P001,2023-12-05,67
P001,2023-12-06,65
P001,2023-12-07,56
P001,2023-12-08,71
P001,2023-12-09,78
P001,2023-12-10,63
P001,2023-12-11,73
P001,2023-12-12,76
P001,2023-12-13,79
P001,2023-12-14,60
P001,2023-12-15,57
P001,2023-12-16,71
P001,2023-12-17,78
P001,2023-12-18,92
P001,2023-12-19,59
P001,2023-12-20,73
P001,2023-12-21,70
P001,2023-12-22,66
P001,2023-12-23,82
P001,2023-12-24,76
P001,2023-12-25,79
P001,2023-12-26,59
P001,2023-12-27,67
P001,2023-12-28,71
P001,2023-12-29,72
P001,2023-12-30,95
P001,2023-12-31,67
P001,2024-01-01,45
P001,2024-01-02,71
P001,2024-01-03,76
P001,2024-01-04,71
P001,2024-01-05,42
P001,2024-01-06,73
P001,2024-01-07,76
P001,2024-01-08,58
P001,2024-01-09,64
P001,2024-01-10,70
P001,2024-01-11,65
P001,2024-01-12,66
P001,2024-01-13,75
P001,2024-01-14,64
P001,2024-01-15,55
P001,2024-01-16,80
P001,2024-01-17,60
P001,2024-01-18,68
P001,2024-01-19,65
P001,2024-01-20,59
P001,2024-01-21,84
P001,2024-01-22,78
P001,2024-01-23,67
P001,2024-01-24,70
P001,2024-01-25,72
P001,2024-01-26,54
P001,2024-01-27,61
P001,2024-01-28,70
P001,2024-01-29,59
P001,2024-01-30,70
P001,2024-01-31,47
P001,2024-02-01,66
P001,2024-02-02,73
P001,2024-02-03,73
P001,2024-02-04,82
P001,2024-02-05,59
P001,2024-02-06,70
P001,2024-02-07,80
P001,2024-02-08,73
P001,2024-02-09,82
P001,2024-02-10,59
P001,2024-02-11,71
P001,2024-02-12,67
P001,2024-02-13,71
P001,2024-02-14,62
P001,2024-02-15,83
P001,2024-02-16,77
P001,2024-02-17,82
P001,2024-02-18,73
P001,2024-02-19,63
P001,2024-02-20,77
P001,2024-02-21,84
P001,2024-02-22,73
P001,2024-02-23,61
P001,2024-02-24,65
P001,2024-02-25,71
P001,2024-02-26,85
P001,2024-02-27,88
P001,2024-02-28,62
P001,2024-02-29,74
P001,2024-03-01,65
P001,2024-03-02,58
P001,2024-03-03,76
P001,2024-03-04,72
P001,2024-03-05,73
P001,2024-03-06,69
P001,2024-03-07,74
P001,2024-03-08,73
P001,2024-03-09,79
P001,2024-03-10,62
P001,2024-03-11,79
P001,2024-03-12,78
P001,2024-03-13,74
P001,2024-03-14,71
P001,2024-03-15,70
P001,2024-03-16,70
P001,2024-03-17,71
P001,2024-03-18,56
P001,2024-03-19,94
P001,2024-03-20,81
P001,2024-03-21,89
P001,2024-03-22,77
P001,2024-03-23,64
P001,2024-03-24,78
P001,2024-03-25,79
P001,2024-03-26,57
P001,2024-03-27,83
P001,2024-03-28,66
P001,2024-03-29,78
P001,2024-03-30,85
P001,2024-03-31,75
